time,open,high,low,close,tick_volume,spread,real_volume
2023-07-12 13:10:00+00:00,119805.0,119830.0,119730.0,119800.0,22372,5,70005
2023-07-12 13:15:00+00:00,119800.0,119900.0,119790.0,119860.0,24456,5,79427
2023-07-12 13:20:00+00:00,119855.0,119945.0,119855.0,119885.0,20315,5,62521
2023-07-12 13:25:00+00:00,119885.0,119905.0,119825.0,119835.0,16712,5,52228
2023-07-12 13:30:00+00:00,119835.0,119915.0,119775.0,119825.0,31796,5,106319
2023-07-12 13:35:00+00:00,119830.0,119835.0,119675.0,119700.0,29854,5,96066
2023-07-12 13:40:00+00:00,119700.0,119735.0,119655.0,119685.0,20930,5,64151
2023-07-12 13:45:00+00:00,119680.0,119735.0,119640.0,119725.0,21613,5,70489
2023-07-12 13:50:00+00:00,119730.0,119760.0,119685.0,119745.0,19244,5,60812
2023-07-12 13:55:00+00:00,119740.0,119785.0,119670.0,119680.0,24803,5,77361
2023-07-12 14:00:00+00:00,119680.0,119720.0,119520.0,119560.0,41277,5,137579
2023-07-12 14:05:00+00:00,119565.0,119605.0,119355.0,119370.0,39148,5,128548
2023-07-12 14:10:00+00:00,119370.0,119450.0,119270.0,119395.0,64615,5,221728
2023-07-12 14:15:00+00:00,119390.0,119540.0,119335.0,119515.0,45572,5,158069
2023-07-12 14:20:00+00:00,119515.0,119565.0,119480.0,119545.0,27253,5,91358
2023-07-12 14:25:00+00:00,119540.0,119635.0,119510.0,119580.0,29386,5,97754
2023-07-12 14:30:00+00:00,119575.0,119630.0,119535.0,119570.0,25607,5,84804
2023-07-12 14:35:00+00:00,119570.0,119625.0,119550.0,119560.0,14888,5,50107
2023-07-12 14:40:00+00:00,119555.0,119580.0,119460.0,119480.0,30842,5,106505
2023-07-12 14:45:00+00:00,119475.0,119515.0,119240.0,119270.0,57949,5,217568
2023-07-12 14:50:00+00:00,119270.0,119330.0,119125.0,119305.0,62163,5,207999
2023-07-12 14:55:00+00:00,119305.0,119495.0,119305.0,119440.0,37874,5,129766
2023-07-12 15:00:00+00:00,119440.0,119475.0,119345.0,119435.0,32945,5,106033
2023-07-12 15:05:00+00:00,119435.0,119465.0,119390.0,119430.0,19063,5,60519
2023-07-12 15:10:00+00:00,119425.0,119515.0,119420.0,119495.0,20725,5,62838
2023-07-12 15:15:00+00:00,119490.0,119515.0,119435.0,119465.0,20113,5,65040
2023-07-12 15:20:00+00:00,119460.0,119545.0,119460.0,119510.0,15933,5,50239
2023-07-12 15:25:00+00:00,119510.0,119525.0,119485.0,119490.0,11985,5,39257
2023-07-12 15:30:00+00:00,119490.0,119510.0,119455.0,119470.0,16344,5,52638
2023-07-12 15:35:00+00:00,119465.0,119480.0,119360.0,119400.0,33042,5,114953
2023-07-12 15:40:00+00:00,119400.0,119515.0,119365.0,119505.0,30764,5,106756
2023-07-12 15:45:00+00:00,119500.0,119505.0,119375.0,119470.0,30945,5,106787
2023-07-12 15:50:00+00:00,119470.0,119580.0,119460.0,119555.0,35404,5,122548
2023-07-12 15:55:00+00:00,119555.0,119565.0,119450.0,119465.0,25131,5,84396
2023-07-12 16:00:00+00:00,119460.0,119505.0,119410.0,119475.0,25178,5,84840
2023-07-12 16:05:00+00:00,119475.0,119560.0,119470.0,119510.0,23592,5,81716
2023-07-12 16:10:00+00:00,119505.0,119550.0,119495.0,119515.0,14724,5,51267
2023-07-12 16:15:00+00:00,119515.0,119520.0,119330.0,119410.0,43841,5,155469
2023-07-12 16:20:00+00:00,119405.0,119455.0,119245.0,119275.0,45187,5,154800
2023-07-12 16:25:00+00:00,119270.0,119360.0,119160.0,119345.0,44402,5,154363
2023-07-12 16:30:00+00:00,119345.0,119390.0,119260.0,119290.0,30674,5,101060
2023-07-12 16:35:00+00:00,119295.0,119335.0,119125.0,119155.0,40471,5,134433
2023-07-12 16:40:00+00:00,119150.0,119250.0,119050.0,119100.0,56757,5,192636
2023-07-12 16:45:00+00:00,119100.0,119225.0,119050.0,119075.0,44002,5,159550
2023-07-12 16:50:00+00:00,119070.0,119110.0,118960.0,119050.0,48057,5,171890
2023-07-12 16:55:00+00:00,119050.0,119055.0,118785.0,118850.0,61928,5,231254
2023-07-12 17:00:00+00:00,118845.0,118960.0,118750.0,118920.0,42209,5,154752
2023-07-12 17:05:00+00:00,118920.0,119020.0,118900.0,118915.0,24664,5,86570
2023-07-12 17:10:00+00:00,118915.0,118965.0,118875.0,118895.0,21462,5,69836
2023-07-12 17:15:00+00:00,118900.0,118935.0,118800.0,118860.0,23339,5,71808
2023-07-12 17:20:00+00:00,118865.0,118870.0,118715.0,118805.0,26698,5,81501
2023-07-12 17:25:00+00:00,118805.0,118850.0,118730.0,118760.0,17404,5,53208
2023-07-12 17:30:00+00:00,118760.0,118800.0,118675.0,118720.0,25506,5,78640
2023-07-12 17:35:00+00:00,118720.0,118835.0,118720.0,118790.0,17570,5,53723
2023-07-12 17:40:00+00:00,118795.0,118860.0,118770.0,118795.0,18003,5,55993
2023-07-12 17:45:00+00:00,118800.0,118905.0,118765.0,118850.0,15206,5,48523
2023-07-12 17:50:00+00:00,118845.0,118895.0,118800.0,118800.0,8577,5,33557
2023-07-13 09:00:00+00:00,119395.0,119740.0,119380.0,119720.0,118007,5,277460
2023-07-13 09:05:00+00:00,119720.0,119910.0,119720.0,119845.0,69527,5,190094
2023-07-13 09:10:00+00:00,119845.0,119875.0,119600.0,119640.0,66650,5,187325
2023-07-13 09:15:00+00:00,119640.0,119675.0,119425.0,119435.0,68580,5,184665
2023-07-13 09:20:00+00:00,119430.0,119610.0,119430.0,119470.0,66595,5,184480
2023-07-13 09:25:00+00:00,119470.0,119590.0,119310.0,119445.0,46887,5,113897
2023-07-13 09:30:00+00:00,119445.0,119580.0,119350.0,119500.0,82811,5,201234
2023-07-13 09:35:00+00:00,119500.0,119510.0,119330.0,119405.0,68196,5,191632
2023-07-13 09:40:00+00:00,119405.0,119635.0,119360.0,119600.0,67771,5,186547
2023-07-13 09:45:00+00:00,119595.0,119680.0,119480.0,119510.0,71978,5,187213
2023-07-13 09:50:00+00:00,119515.0,119535.0,119455.0,119470.0,26775,5,71094
2023-07-13 09:55:00+00:00,119470.0,119505.0,119365.0,119420.0,47834,5,133796
2023-07-13 10:00:00+00:00,119420.0,119625.0,119315.0,119600.0,90909,5,243041
2023-07-13 10:05:00+00:00,119600.0,119615.0,119365.0,119490.0,85912,5,230887
2023-07-13 10:10:00+00:00,119485.0,119700.0,119380.0,119625.0,84459,5,238214
2023-07-13 10:15:00+00:00,119625.0,120195.0,119605.0,120150.0,159064,5,457204
2023-07-13 10:20:00+00:00,120150.0,120375.0,120045.0,120330.0,134140,5,390180
2023-07-13 10:25:00+00:00,120330.0,120415.0,120220.0,120390.0,93937,5,261554
2023-07-13 10:30:00+00:00,120390.0,120545.0,120205.0,120225.0,123529,5,354593
2023-07-13 10:35:00+00:00,120230.0,120500.0,120210.0,120430.0,91259,5,274400
2023-07-13 10:40:00+00:00,120425.0,120785.0,120410.0,120730.0,127738,5,389470
2023-07-13 10:45:00+00:00,120735.0,120850.0,120580.0,120725.0,93921,5,283315
2023-07-13 10:50:00+00:00,120725.0,120880.0,120595.0,120860.0,86118,5,261606
2023-07-13 10:55:00+00:00,120860.0,121070.0,120810.0,120985.0,91423,5,295679
2023-07-13 11:00:00+00:00,120980.0,121030.0,120810.0,120865.0,60283,5,195676
2023-07-13 11:05:00+00:00,120865.0,121015.0,120815.0,121000.0,53454,5,163358
2023-07-13 11:10:00+00:00,121000.0,121015.0,120870.0,120995.0,46259,5,141184
2023-07-13 11:15:00+00:00,120990.0,121020.0,120875.0,120960.0,43725,5,134749
2023-07-13 11:20:00+00:00,120960.0,121030.0,120825.0,120890.0,56972,5,178285
2023-07-13 11:25:00+00:00,120895.0,120995.0,120870.0,120985.0,38497,5,120962
2023-07-13 11:30:00+00:00,120985.0,121015.0,120915.0,120995.0,32942,5,100080
2023-07-13 11:35:00+00:00,120995.0,121020.0,120905.0,120960.0,31718,5,96089
2023-07-13 11:40:00+00:00,120965.0,121125.0,120920.0,120955.0,59060,5,175740
2023-07-13 11:45:00+00:00,120950.0,121000.0,120940.0,120990.0,19480,5,60153
2023-07-13 11:50:00+00:00,120995.0,121000.0,120815.0,120910.0,44896,5,138150
